GUT_GENOME000159	s__UBA1191 sp900066305	species__UBA1191 sp900066305	species	UBA1191 sp900066305	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305
GUT_GENOME137788	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME283301	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME161177	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME110186	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME218227	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME133095	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME113907	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME189426	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME032179	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME247037	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME190541	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME084811	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME276917	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME027738	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME220137	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME253749	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME245463	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME100460	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME049982	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME037564	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME159534	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME228212	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME178758	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME135924	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME270858	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME084074	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME281794	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME273354	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME274923	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME269623	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME135339	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME195072	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME023955	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME028191	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME110251	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME207101	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME228530	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME126356	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME251864	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME028221	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME159912	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME273394	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME011097	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME036696	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME266532	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME198776	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME055661	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME268845	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME002567	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME000449	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME268101	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME101584	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME104767	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME153836	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME137082	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME249532	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME120345	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME182039	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME129682	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME136266	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME275734	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME182020	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME266564	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME099802	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME194061	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME070193	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME123200	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME021650	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME211509	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME154609	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME160079	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME111114	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME208989	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME014754	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME218899	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME286527	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME036819	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME138772	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME031525	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME133576	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME278060	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME098182	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME037715	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME160142	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME194144	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME216205	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME094531	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME212496	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME154415	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME086903	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME137170	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME014803	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME083525	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME138803	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME065417	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME180517	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME209872	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME272777	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME115836	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME056168	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME081201	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME156098	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME278109	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME277358	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME156874	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME097342	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME264285	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME269015	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME133651	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME251257	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME047320	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME016913	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME085483	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
GUT_GENOME282029	s__Agathobacter rectalis	species__Agathobacter rectalis	species	Agathobacter rectalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis
